filename,size_bytes
AIM_T_EVS_INQUIRY_123.dat,160506877
AIM_T_EVS_INQUIRY_124.dat,160743386
AIM_T_EVS_INQUIRY_125.dat,160508487
AIM_T_EVS_INQUIRY_126.dat,160657895
AIM_T_EVS_INQUIRY_127.dat,160682689
AIM_T_EVS_INQUIRY_128.dat,160614908
AIM_T_EVS_INQUIRY_129.dat,160252014
AIM_T_EVS_INQUIRY_12.dat,160442960
AIM_T_EVS_INQUIRY_130.dat,160791364
AIM_T_EVS_INQUIRY_131.dat,160783153
AIM_T_EVS_INQUIRY_132.dat,160694603
AIM_T_EVS_INQUIRY_133.dat,160758681
AIM_T_EVS_INQUIRY_134.dat,160460992
AIM_T_EVS_INQUIRY_135.dat,160427826
AIM_T_EVS_INQUIRY_136.dat,160631330
AIM_T_EVS_INQUIRY_137.dat,160508326
AIM_T_EVS_INQUIRY_138.dat,160519757
AIM_T_EVS_INQUIRY_139.dat,160627466
AIM_T_EVS_INQUIRY_13.dat,160791686
AIM_T_EVS_INQUIRY_140.dat,160833385
AIM_T_EVS_INQUIRY_141.dat,160470169
AIM_T_EVS_INQUIRY_142.dat,160280189
AIM_T_EVS_INQUIRY_143.dat,160481117
AIM_T_EVS_INQUIRY_144.dat,160410921
AIM_T_EVS_INQUIRY_145.dat,160714728
AIM_T_EVS_INQUIRY_146.dat,160617162
AIM_T_EVS_INQUIRY_147.dat,160555338
AIM_T_EVS_INQUIRY_148.dat,160604926
AIM_T_EVS_INQUIRY_149.dat,160953974
AIM_T_EVS_INQUIRY_14.dat,160548093
AIM_T_EVS_INQUIRY_150.dat,160385966
AIM_T_EVS_INQUIRY_151.dat,160561778
AIM_T_EVS_INQUIRY_152.dat,160552118
AIM_T_EVS_INQUIRY_153.dat,160406413
AIM_T_EVS_INQUIRY_154.dat,160607824
AIM_T_EVS_INQUIRY_155.dat,160583513
AIM_T_EVS_INQUIRY_156.dat,160525392
AIM_T_EVS_INQUIRY_157.dat,160794906
AIM_T_EVS_INQUIRY_158.dat,160738556
AIM_T_EVS_INQUIRY_159.dat,160607502
AIM_T_EVS_INQUIRY_15.dat,160352639
AIM_T_EVS_INQUIRY_160.dat,160866873
AIM_T_EVS_INQUIRY_161.dat,160461636
AIM_T_EVS_INQUIRY_162.dat,160465661
AIM_T_EVS_INQUIRY_163.dat,160765926
AIM_T_EVS_INQUIRY_164.dat,160502208
AIM_T_EVS_INQUIRY_165.dat,160868000
AIM_T_EVS_INQUIRY_166.dat,160551313
AIM_T_EVS_INQUIRY_167.dat,160185521
AIM_T_EVS_INQUIRY_168.dat,160905996
AIM_T_EVS_INQUIRY_169.dat,160482244
AIM_T_EVS_INQUIRY_16.dat,160557270
AIM_T_EVS_INQUIRY_170.dat,160667233
AIM_T_EVS_INQUIRY_171.dat,160493031
AIM_T_EVS_INQUIRY_172.dat,160359723
AIM_T_EVS_INQUIRY_173.dat,160530705
AIM_T_EVS_INQUIRY_174.dat,160675444
AIM_T_EVS_INQUIRY_175.dat,160598486
AIM_T_EVS_INQUIRY_176.dat,160646625
AIM_T_EVS_INQUIRY_177.dat,160456323
AIM_T_EVS_INQUIRY_178.dat,160321405
AIM_T_EVS_INQUIRY_179.dat,160531510
AIM_T_EVS_INQUIRY_17.dat,160831936
AIM_T_EVS_INQUIRY_180.dat,160587055
AIM_T_EVS_INQUIRY_181.dat,160518791
AIM_T_EVS_INQUIRY_182.dat,160606536
AIM_T_EVS_INQUIRY_183.dat,160276325
AIM_T_EVS_INQUIRY_184.dat,160461797
AIM_T_EVS_INQUIRY_185.dat,160605087
AIM_T_EVS_INQUIRY_186.dat,160346521
AIM_T_EVS_INQUIRY_187.dat,160420581
AIM_T_EVS_INQUIRY_188.dat,160476287
AIM_T_EVS_INQUIRY_189.dat,160729862
AIM_T_EVS_INQUIRY_18.dat,160306593
AIM_T_EVS_INQUIRY_190.dat,160504784
AIM_T_EVS_INQUIRY_191.dat,160706517
AIM_T_EVS_INQUIRY_192.dat,160145110
AIM_T_EVS_INQUIRY_193.dat,160442960
AIM_T_EVS_INQUIRY_194.dat,160488684
AIM_T_EVS_INQUIRY_195.dat,160754817
AIM_T_EVS_INQUIRY_196.dat,160619577
AIM_T_EVS_INQUIRY_197.dat,160553728
AIM_T_EVS_INQUIRY_198.dat,160493997
AIM_T_EVS_INQUIRY_199.dat,160805532
AIM_T_EVS_INQUIRY_19.dat,160292425
AIM_T_EVS_INQUIRY_1.dat,160560168
AIM_T_EVS_INQUIRY_200.dat,160793618
AIM_T_EVS_INQUIRY_201.dat,160348775
AIM_T_EVS_INQUIRY_202.dat,160453908
AIM_T_EVS_INQUIRY_203.dat,160375018
AIM_T_EVS_INQUIRY_204.dat,160680918
AIM_T_EVS_INQUIRY_205.dat,160070406
AIM_T_EVS_INQUIRY_206.dat,160369383
AIM_T_EVS_INQUIRY_207.dat,160789754
AIM_T_EVS_INQUIRY_208.dat,160288239
AIM_T_EVS_INQUIRY_209.dat,160820022
AIM_T_EVS_INQUIRY_20.dat,160643405
AIM_T_EVS_INQUIRY_210.dat,160673190
AIM_T_EVS_INQUIRY_211.dat,160285341
